External Library Name;Link to License;License Name;Copyright Notice Included (Yes/No);Source Code Included (Yes/No);Counsel LDAP and Authorization Date;repository_type;repository_URL;is_runtime;license_category
abseil.abseil-cpp-20250127.0;https://raw.githubusercontent.com/abseil/abseil-cpp/20250127.0/LICENSE;Apache License 2.0;Yes;No;N/A;github;https://github.com/abseil/abseil-cpp;NOT_KNOWN;notice
ahash-0.8.12;https://raw.githubusercontent.com/tkaitchuck/aHash/v0.8.12/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/tkaitchuck/ahash;NOT_KNOWN;notice
aho-corasick-1.1.4;https://raw.githubusercontent.com/BurntSushi/aho-corasick/1.1.4/UNLICENSE;Unlicense OR MIT;Yes;No;N/A;crates|github;https://github.com/BurntSushi/aho-corasick;NOT_KNOWN;unencumbered
anstream-0.6.21;https://raw.githubusercontent.com/rust-cli/anstyle/refs/tags/anstream-v0.6.21/crates/anstream/LICENSE-MIT;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/rust-cli/anstyle.git;NOT_KNOWN;notice
anstyle-1.0.13;https://raw.githubusercontent.com/rust-cli/anstyle/refs/tags/v1.0.13/crates/anstyle/LICENSE-MIT;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/rust-cli/anstyle.git;NOT_KNOWN;notice
anstyle-parse-0.2.7;https://raw.githubusercontent.com/rust-cli/anstyle/refs/tags/anstyle-parse-v0.2.7/crates/anstyle-query/LICENSE-MIT;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/rust-cli/anstyle.git;NOT_KNOWN;notice
anstyle-query-1.1.5;https://raw.githubusercontent.com/rust-cli/anstyle/refs/tags/anstyle-query-v1.1.5/crates/anstyle-query/LICENSE-MIT;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/rust-cli/anstyle.git;NOT_KNOWN;notice
anyhow-1.0.100;https://raw.githubusercontent.com/dtolnay/anyhow/1.0.100/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/dtolnay/anyhow;NOT_KNOWN;notice
apple_support-1.24.1;https://raw.githubusercontent.com/bazelbuild/apple_support/1.24.1/LICENSE;Apache License 2.0;Yes;No;N/A;bcr.bazel|github;https://github.com/bazelbuild/apple_support;NOT_KNOWN;notice
arc-swap-1.8.1;https://raw.githubusercontent.com/vorner/arc-swap/v1.8.1/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/vorner/arc-swap;NOT_KNOWN;notice
aspect-build.toolchains_protoc-0.5.0;https://raw.githubusercontent.com/aspect-build/toolchains_protoc/v0.5.0/LICENSE;Apache License 2.0;Yes;No;N/A;github;https://github.com/aspect-build/toolchains_protoc;NOT_KNOWN;notice
aspect_bazel_lib-2.21.0;https://raw.githubusercontent.com/bazel-contrib/bazel-lib/v2.21.0/LICENSE;Apache License 2.0;Yes;No;N/A;bcr.bazel|github;https://github.com/bazel-contrib/bazel-lib;NOT_KNOWN;notice
aspect_bazel_lib-2.21.0;https://raw.githubusercontent.com/bazel-contrib/bazel-lib/v2.21.0/LICENSE;Apache License 2.0;Yes;No;N/A;bcr.bazel|github;https://github.com/bazel-contrib/bazel-lib;NOT_KNOWN;notice
async-stream-0.3.6;https://raw.githubusercontent.com/tokio-rs/async-stream/v0.3.6/LICENSE;MIT;Yes;No;N/A;crates|github;https://github.com/tokio-rs/async-stream;NOT_KNOWN;notice
async-stream-impl-0.3.6;https://raw.githubusercontent.com/tokio-rs/async-stream/v0.3.6/LICENSE;MIT;Yes;No;N/A;crates|github;https://github.com/tokio-rs/async-stream;NOT_KNOWN;notice
async-trait-0.1.89;https://raw.githubusercontent.com/dtolnay/async-trait/0.1.89/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/dtolnay/async-trait;NOT_KNOWN;notice
atomic-waker-1.1.2;https://raw.githubusercontent.com/smol-rs/atomic-waker/v1.1.2/LICENSE-APACHE;Apache-2.0 OR MIT;Yes;No;N/A;crates|github;https://github.com/smol-rs/atomic-waker;NOT_KNOWN;notice
autocfg-1.5.0;https://raw.githubusercontent.com/cuviper/autocfg/1.5.0/LICENSE-APACHE;Apache-2.0 OR MIT;Yes;No;N/A;crates|github;https://github.com/cuviper/autocfg;NOT_KNOWN;notice
axum-0.8.8;https://raw.githubusercontent.com/tokio-rs/axum/main/LICENSE;MIT;Yes;No;N/A;crates|github;https://github.com/tokio-rs/axum;NOT_KNOWN;notice
axum-core-0.5.6;https://raw.githubusercontent.com/tokio-rs/axum/axum-core-v0.5.6/LICENSE;MIT;Yes;No;N/A;crates|github;https://github.com/tokio-rs/axum;NOT_KNOWN;notice
base64-0.22.1;https://raw.githubusercontent.com/marshallpierce/rust-base64/v0.22.1/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/marshallpierce/rust-base64;NOT_KNOWN;notice
bats-core.bats-core-1.10.0;https://raw.githubusercontent.com/bats-core/bats-core/v1.10.0/LICENSE.md;Other;Yes;No;N/A;github;https://github.com/bats-core/bats-core;NOT_KNOWN;notice
bazel-contrib.bazel-lib-2.21.0;https://raw.githubusercontent.com/bazel-contrib/bazel-lib/v2.21.0/LICENSE;Apache License 2.0;Yes;No;N/A;github;https://github.com/bazel-contrib/bazel-lib;NOT_KNOWN;notice
bazel-contrib.bazel_features-1.32.0;https://raw.githubusercontent.com/bazel-contrib/bazel_features/v1.32.0/LICENSE;Apache License 2.0;Yes;No;N/A;github;https://github.com/bazel-contrib/bazel_features;NOT_KNOWN;notice
